song_id	line_idx	text	gold_start	gold_end
chidori	0	風がおもてで呼んでいる	20.482628	23.566
chidori	1	呼んでいる	23.62	25
chidori	2	さぁ行こう海を脱いで	25.25	28.068203
chidori	3	あなたと私 ちょうどいい昼間	28.354172	32.31
chidori	4	風がおもてで呼んでいる	36.54	39.545
chidori	5	飛んでいる	39.58	40.82
chidori	6	三時半 腕を振って	41.07	44.160409
chidori	7	千鳥足の私 不確かに	44.54	47.782672
chidori	8	今日も回り道	47.782672	50.144
chidori	9	たぶん私は生きている	52.245508	57.248
chidori	10	風が私を呼んでいる	58.29	62.03
chidori	11	鳥が私を呼んでいる	62.28	66.231948
chidori	12	ふざけた晴れの炎天	66.240614	69.438257
chidori	13	ただ私は酔いに酔った振り	69.516248	74.213058
chidori	14	雲が私を呼んでいる	74.3	78.05
chidori	15	木々が私を呼んでいる	78.3	82.04
chidori	16	風下からり炎天	82.29	85.357149
chidori	17	目眩晴れ 薄い今日の月	85.55646	91.68
chidori	18	すすきの中に立っている	108.199935	111.55
chidori	19	ふいに吹く青風 雲の稜線	111.55	116.189711
chidori	20	私このまま死んでしまいそうだな	116.519007	120.666
chidori	21	風がおもてで呼んでいる	124.300806	127.53
chidori	22	泣いている	127.53	128.8
chidori	23	さぁ行こう東風を脱いで	128.980284	132.143265
chidori	24	千鳥足の二人 俯瞰一面の花吹雪	132.264585	138.144
chidori	25	たぶんあなたも生きている	140.280358	145.12
chidori	26	風が私を呼んでいる	146.29	150.03
chidori	27	晴れも私を呼んでいる	150.28	154.10215
chidori	28	ふざけた雨の曇天でさえ	154.249467	158.460997
chidori	29	私は酔いに酔った振り	158.53	162.213245
chidori	30	雲が私を呼んでいる	162.299902	166.06
chidori	31	木々が私を呼んでいる	166.31	170.168358
chidori	32	風下からり晴天	170.289678	173.45
chidori	33	目眩晴れ 白い蘭の月	173.539316	179.648
chidori	34	風をあなたが呼んでいる	198.28	202.032138
chidori	35	私の風を呼んでいる	202.283444	206.096352
chidori	36	ふざけた晴れの炎天	206.252334	209.475975
chidori	37	行こう、私は酔いに酔った振り	209.536635	214.207447
chidori	38	私が風を呼んでいる	214.294104	218.04
chidori	39	木々よ叫べと呼んでいる	218.29	222.179892
chidori	40	風下からり炎天	222.301212	225.455526
chidori	41	目眩晴れ 薄い今日の月	225.524852	231.744
