song_id	line_idx	text	gold_start	gold_end
haru-hikage	20	縁を結んでは ほどきほどかれ	117.507663	121.3
haru-hikage	21	誰しもがそれを喜び 悲しみながら	121.3	129.14
haru-hikage	22	愛を数えてゆく	129.14	133.86886
haru-hikage	23	鼓動を確かめるように	134.1	139.5814
haru-hikage	24	(うれしくて さびしくて)	140.14	143.536448
haru-hikage	25	今だから 分かる気がした	143.564139	147.302505
haru-hikage	26	(たいせつで こわくって)	147.551729	150.95
haru-hikage	27	あの日泣けなかった僕を	150.95	154.616025
haru-hikage	28	光は やさしく抱きしめた	154.685254	161.91276
haru-hikage	29	照らされた世界 咲き誇る大切な人	176.62	183.15612
haru-hikage	30	あたたかさを知った春は	184.68	187.41
haru-hikage	31	僕のため 君のための 涙を流すよ	187.41	192.614
